Family;Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
1.0;2.0;1.0;1.0;0.65625;42.0;44.0;0.6666666666666666;0.5789473684210527;1.0;1.0476190476190477;0.9090909090909091;2.090909090909091;1.0;0.0;0.8132183908045977;0.034482758620689655;0.15229885057471265;0.0
2.0;2.0;0.0;1.0;0.27586206896551724;57.0;48.0;0.8769230769230769;0.6233766233766234;1.1875;1.0;0.9655172413793104;1.3793103448275863;0.0;0.0;0.8682432432432432;0.006756756756756757;0.125;0.0
4.0;3.0;0.0;1.0;0.09433962264150944;82.0;13.0;0.9425287356321839;0.19696969696969696;6.3076923076923075;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.8122977346278317;0.0;0.18770226537216828;1.0
4.0;2.0;0.0;1.0;0.13043478260869565;75.0;14.0;0.9259259259259259;0.23333333333333334;5.357142857142857;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.7985865724381626;0.0176678445229682;0.18374558303886926;1.0
4.0;2.0;0.0;1.0;0.2;69.0;16.0;0.8961038961038961;0.2857142857142857;4.3125;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.7642857142857142;0.06428571428571428;0.17142857142857143;1.0
4.0;1.0;0.0;1.0;0.25;61.0;16.0;0.8840579710144928;0.3333333333333333;3.8125;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.7709923664122137;0.07633587786259542;0.15267175572519084;1.0
4.0;1.0;1.0;1.0;0.34615384615384615;55.0;17.0;0.859375;0.3953488372093023;3.235294117647059;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.8209606986899564;0.026200873362445413;0.15283842794759825;1.0
4.0;1.0;1.0;1.0;0.5909090909090909;51.0;21.0;0.796875;0.4883720930232558;2.4285714285714284;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.8294930875576036;0.009216589861751152;0.16129032258064516;1.0
5.0;1.0;2.0;1.0;0.9545454545454546;46.0;54.0;0.6865671641791045;0.7105263157894737;1.0;1.173913043478261;0.96;1.32;0.0;0.0;0.8;0.008888888888888889;0.19111111111111112;0.0
4.0;2.0;2.0;1.0;0.375;77.0;26.0;0.8105263157894737;0.35135135135135137;2.9615384615384617;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.725;0.0;0.275;1.0
4.0;2.0;2.0;1.0;0.5111111111111111;74.0;31.0;0.7628865979381443;0.40789473684210525;2.3870967741935485;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.711864406779661;0.0;0.288135593220339;1.0
4.0;1.0;2.0;1.0;0.5882352941176471;63.0;28.0;0.7590361445783133;0.45161290322580644;2.25;1.0;3.2222222222222223;0.8888888888888888;0.0;1.0;0.7004830917874396;0.03864734299516908;0.2608695652173913;1.0
3.0;1.0;2.0;1.0;0.95;56.0;53.0;0.7466666666666667;0.726027397260274;1.0566037735849056;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.6721311475409836;0.11475409836065574;0.21311475409836064;1.0
5.0;0.0;1.0;0.14705882352941177;1.0;14.0;67.0;0.2916666666666667;0.9305555555555556;1.0;4.785714285714286;0.9;3.3;1.0;0.0;0.6666666666666666;0.10526315789473684;0.22807017543859648;0.0
3.0;0.0;1.0;0.22580645161290322;1.0;43.0;41.0;0.581081081081081;0.8541666666666666;1.048780487804878;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.6993006993006993;0.03496503496503497;0.26573426573426573;1.0
2.0;0.0;2.0;0.02857142857142857;1.0;29.0;75.0;0.453125;0.9868421052631579;1.0;2.586206896551724;0.9655172413793104;1.3793103448275863;0.0;0.0;0.7096774193548387;0.0;0.2903225806451613;0.0
3.0;1.0;1.0;0.7;1.0;50.0;30.0;0.7142857142857143;0.6818181818181818;1.6666666666666667;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.5853658536585366;0.0;0.4146341463414634;1.0
3.0;0.0;0.0;0.0;1.0;36.0;19.0;0.8;1.0;1.894736842105263;1.0;3.272727272727273;0.9090909090909091;0.0;1.0;0.7073170731707317;0.07317073170731707;0.21951219512195122;1.0
1.0;0.0;1.0;0.0;1.0;29.0;38.0;0.6590909090909091;1.0;1.0;1.3103448275862069;1.2083333333333333;0.9583333333333334;0.0;0.0;0.5588235294117647;0.0;0.4411764705882353;1.0
5.0;0.0;2.0;0.0;1.0;24.0;80.0;0.3380281690140845;1.0;1.0;3.3333333333333335;0.96;1.32;0.0;0.0;0.2878787878787879;0.0;0.7121212121212122;0.0
