Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected_Resource_encoded_0;Selected_Resource_encoded_1
2.0;1.0;15.0;0.0;1.0;0.0;1.0;0.0945945945945946;0.9466666666666668;0.0;1.0;0.75;1.0;1.0;0.0;0.9726027397260274;0.0;0.0273972602739726;1;0
4.0;1.0;15.0;0.0;1.0;0.0;1.0;0.131578947368421;0.9210526315789472;0.0;1.0;0.8;0.8;0.0;0.0;1.0;0.0;0.0;0;1
3.0;1.0;16.0;0.0;1.0;0.0;1.0;0.1358024691358024;0.925925925925926;0.0;1.0;0.8333333333333334;0.8333333333333334;0.0;0.0;1.0;0.0;0.0;1;0
5.0;2.0;15.0;0.0;1.0;0.0;1.0;0.1375;0.8875;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.9873417721518988;0.0126582278481012;0.0;0;1
4.0;1.0;16.0;0.0;1.0;0.0;1.0;0.1168831168831168;0.935064935064935;0.0;1.0;0.8;0.8;0.0;0.0;1.0;0.0;0.0;0;1
3.0;1.0;17.0;0.0;1.0;0.0;1.0;0.0909090909090909;0.9493670886075948;0.0;1.0;0.75;1.25;1.0;0.0;1.0;0.0;0.0;1;0
3.0;1.0;16.0;0.0;1.0;0.0;1.0;0.1168831168831168;0.9240506329113924;0.0;1.0;0.75;1.25;1.0;0.0;1.0;0.0;0.0;1;0
3.0;2.0;16.0;0.0;1.0;0.0;1.0;0.141025641025641;0.9;0.0;1.0;0.75;1.25;1.0;0.0;1.0;0.0;0.0;1;0
5.0;3.0;16.0;0.0;1.0;0.0;1.0;0.1625;0.8625;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;1;0
2.0;3.0;15.0;0.0;1.0;0.0;1.0;0.1818181818181818;0.8701298701298701;0.0;1.0;0.8;0.8;0.0;0.0;0.9733333333333334;0.0;0.0266666666666666;0;1
5.0;2.0;15.0;0.0;1.0;0.0;1.0;0.1111111111111111;0.9041095890410958;0.0;1.0;0.5;1.0;1.0;0.0;0.9594594594594594;0.0;0.0405405405405405;1;0
1.0;2.0;15.0;0.0;1.0;0.0;1.0;0.16;0.92;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;0.971830985915493;0.0140845070422535;0.0140845070422535;1;0
2.0;3.0;15.0;0.0;1.0;0.0;1.0;0.1923076923076923;0.8571428571428571;0.0;1.0;1.0;0.75;0.0;1.0;0.9736842105263158;0.0131578947368421;0.0131578947368421;0;1
1.0;3.0;16.0;0.0;1.0;0.0;1.0;0.1851851851851851;0.8674698795180723;0.0;1.0;0.8;1.2;1.0;0.0;0.9746835443037974;0.0126582278481012;0.0126582278481012;1;0
4.0;3.0;15.0;0.0;1.0;0.0;1.0;0.1923076923076923;0.8589743589743589;0.0;1.0;0.8;0.8;0.0;0.0;1.0;0.0;0.0;1;0
2.0;4.0;15.0;0.0;1.0;0.0;1.0;0.2317073170731707;0.8148148148148148;0.0;1.0;1.0;0.75;0.0;1.0;1.0;0.0;0.0;0;1
2.0;4.0;16.0;0.0;1.0;0.0;1.0;0.2235294117647059;0.8214285714285714;0.0;1.0;1.0;0.75;0.0;1.0;1.0;0.0;0.0;0;1
5.0;3.0;16.0;0.0;1.0;0.0;1.0;0.1851851851851851;0.8395061728395061;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.9634146341463414;0.0;0.0365853658536585;1;0
5.0;3.0;15.0;0.0;1.0;0.0;1.0;0.1733333333333333;0.8421052631578947;0.0;1.0;0.5;1.0;1.0;0.0;1.0;0.0;0.0;1;0
3.0;3.0;15.0;0.0;1.0;0.0;1.0;0.2105263157894736;0.8552631578947368;0.0;1.0;0.8333333333333334;0.8333333333333334;0.0;0.0;1.0;0.0;0.0;1;0
1.0;4.0;15.0;0.0;1.0;0.0;1.0;0.2592592592592592;0.8148148148148148;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;1.0;0.0;0.0;0;1
3.0;3.0;15.0;0.0;1.0;0.0;1.0;0.1805555555555555;0.8648648648648649;0.0;1.0;0.75;1.25;1.0;0.0;1.0;0.0;0.0;1;0
3.0;4.0;15.0;0.0;1.0;0.0;1.0;0.2133333333333333;0.8311688311688312;0.0;1.0;0.75;1.25;1.0;0.0;1.0;0.0;0.0;1;0
5.0;5.0;15.0;0.0;1.0;0.0;1.0;0.2337662337662337;0.7922077922077922;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0;1
