Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;4.0;10.0;16.0;18.0;0.4;0.9090909090909091;0.7272727272727273;0.782608695652174;1.0;2.5;4.0;4.5;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.825065274151436;0.13054830287206268;0.015665796344647518;0.0;0.028720626631853787;1.0
3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;18.0;16.0;7.0;0.8235294117647058;1.0;0.8421052631578947;0.7;2.0;2.5714285714285716;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.8521505376344086;0.11021505376344086;0.008064516129032258;0.005376344086021506;0.024193548387096774;3.0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;6.0;17.0;1.0;1.0;1.0;1.0;2.3333333333333335;2.5;1.0;2.8333333333333335;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.8668555240793201;0.11048158640226628;0.0;0.0084985835694051;0.014164305949008499;2.0
5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;18.0;17.0;0.875;0.8823529411764706;1.0;0.8947368421052632;1.0;1.0714285714285714;1.2857142857142858;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.884272997032641;0.09198813056379822;0.005934718100890208;0.0;0.017804154302670624;0.0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.14285714285714285;0.0;28.0;15.0;18.0;7.0;0.9333333333333333;0.4838709677419355;0.5625;0.30434782608695654;4.0;2.142857142857143;2.5714285714285716;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.8490028490028491;0.08831908831908832;0.045584045584045586;0.0;0.017094017094017096;3.0
1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;17.0;15.0;6.0;17.0;1.0;0.8333333333333334;0.6666666666666666;0.85;2.8333333333333335;2.5;1.0;2.8333333333333335;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.8646153846153846;0.11076923076923077;0.009230769230769232;0.0;0.015384615384615385;0.0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;30.0;15.0;16.0;7.0;1.0;0.4838709677419355;0.5;0.30434782608695654;4.285714285714286;2.142857142857143;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.827893175074184;0.09792284866468842;0.04747774480712166;0.0;0.026706231454005934;3.0
2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;21.0;15.0;16.0;17.0;1.0;0.6818181818181818;0.6956521739130435;0.7083333333333334;1.4;1.0;1.0666666666666667;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8474114441416893;0.10899182561307902;0.01907356948228883;0.005449591280653951;0.01907356948228883;3.0
1.0;1.0;0.0;0.0;1.0;0.4117647058823529;0.0;0.0;1.0;11.0;15.0;6.0;34.0;0.39285714285714285;0.38461538461538464;0.2;0.8292682926829268;1.8333333333333333;2.5;1.0;5.666666666666667;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.8098958333333334;0.10416666666666667;0.0625;0.005208333333333333;0.018229166666666668;2.0
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;15.0;6.0;25.0;0.3333333333333333;0.6521739130434783;0.42857142857142855;1.0;1.0;3.75;1.5;6.25;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.8796068796068796;0.0687960687960688;0.019656019656019656;0.012285012285012284;0.019656019656019656;0.0
